title,author,isbn,publisher,edition_hint,education_level,subject,country_code,image_url
Une si longue lettre,Mariama Bâ,,,,,,SN,
Un chant écarlate,Mariama Bâ,,,,,,SN,
L'Aventure ambiguë,Cheikh Hamidou Kane,,,,,,SN,
Les Gardiens du Temple,Cheikh Hamidou Kane,,,,,,SN,
Les Bouts de bois de Dieu,Sembène Ousmane,,,,,,SN,
Le Docker noir,Sembène Ousmane,,,,,,SN,
Xala,Sembène Ousmane,,,,,,SN,
Le Mandat,Sembène Ousmane,,,,,,SN,
Chants d'ombre,Léopold Sédar Senghor,,,,,,SN,
Éthiopiques,Léopold Sédar Senghor,,,,,,SN,
Hosties noires,Léopold Sédar Senghor,,,,,,SN,
La Belle Histoire de Leuk-le-Lièvre,"Léopold Sédar Senghor, Abdoulaye Sadji",,,,,,SN,
Maïmouna,Abdoulaye Sadji,,,,,,SN,
"Nini, mulâtresse du Sénégal",Abdoulaye Sadji,,,,,,SN,
L'Appel des arènes,Aminata Sow Fall,,,,,,SN,
La Grève des bàttu,Aminata Sow Fall,,,,,,SN,
Karim,Ousmane Socé,,,,,,SN,
Force-Bonté,Bakary Diallo,,,,,,SN,
Le Baobab fou,Ken Bugul,,,,,,SN,
Riwan ou le chemin de sable,Ken Bugul,,,,,,SN,
"Murambi, le livre des ossements",Boubacar Boris Diop,,,,,,SN,
Le Cavalier et son ombre,Boubacar Boris Diop,,,,,,SN,
Le Ventre de l'Atlantique,Fatou Diome,,,,,,SN,
Terre ceinte,Mohamed Mbougar Sarr,,,,,,SN,
De purs hommes,Mohamed Mbougar Sarr,,,,,,SN,
La plus secrète mémoire des hommes,Mohamed Mbougar Sarr,,,,,,SN,
Nations nègres et culture,Cheikh Anta Diop,,,,,,SN,
Les Soleils des indépendances,Ahmadou Kourouma,,,,,,CI,
Allah n'est pas obligé,Ahmadou Kourouma,,,,,,CI,
En attendant le vote des bêtes sauvages,Ahmadou Kourouma,,,,,,CI,
L'Étrange destin de Wangrin,Amadou Hampâté Bâ,,,,,,ML,
"Amkoullel, l'enfant peul",Amadou Hampâté Bâ,,,,,,ML,
Sous l'orage,Seydou Badian,,,,,,ML,
Le Devoir de violence,Yambo Ouologuem,,,,,,ML,
L'Enfant noir,Camara Laye,,,,,,GN,
Le Regard du roi,Camara Laye,,,,,,GN,
Une vie de boy,Ferdinand Oyono,,,,,,CM,
Le Vieux Nègre et la médaille,Ferdinand Oyono,,,,,,CM,
Ville cruelle,Eza Boto,,,,,,CM,
Le Pauvre Christ de Bomba,Mongo Beti,,,,,,CM,
Le Monde s'effondre,Chinua Achebe,,,,,,NG,
"Peau noire, masques blancs",Frantz Fanon,,,,,,,
Les Damnés de la terre,Frantz Fanon,,,,,,,
Go for English 6e,,,EDICEF,,6ème,Anglais,SN,
Go for English 5e,,,EDICEF,,5ème,Anglais,SN,
Go for English 4e,,,EDICEF,,4ème,Anglais,SN,
Go for English 3e,,,EDICEF,,3ème,Anglais,SN,
CIAM Mathématiques 6e,,,EDICEF,,6ème,Mathématiques,SN,
CIAM Mathématiques 5e,,,EDICEF,,5ème,Mathématiques,SN,
CIAM Mathématiques 4e,,,EDICEF,,4ème,Mathématiques,SN,
CIAM Mathématiques 3e,,,EDICEF,,3ème,Mathématiques,SN,
