title,author,isbn,publisher,edition_hint,education_level,subject,country_code,image_url
CIAM Seconde L,,9782841296538,EDICEF,"Série L, 2000",Seconde,Mathématiques,SN,
CIAM Seconde S,,9782841292165,EDICEF,"Série S, 1997",Seconde,Mathématiques,SN,
"Physique chimie, Seconde S",,,Kandia,"Série S, 2015",Seconde,Physique-Chimie,SN,
"Sciences de la vie et de la terre, Seconde : manuel",,,Didactikos,2022,Seconde,SVT,SN,
Le français en Seconde,,9782850697562,EDICEF,1998,Seconde,Français,SN,
L'école des femmes,Molière,,,Œuvre au programme,Seconde,Français,SN,
Zadig,Voltaire,,,Œuvre au programme,Seconde,Français,SN,
Les nouveaux contes d'Amadou Koumba,Birago Diop,,Présence africaine,Œuvre au programme,Seconde,Français,SN,
Far ahead Seconde : manuel,,9782753107519,EDICEF,2015,Seconde,Anglais,SN,
Far ahead Seconde : student book,,9782753107427,EDICEF,2015,Seconde,Anglais,SN,
"Pura Vida, Seconde",,9782356855411,Éditions Maison des Langues,2019,Seconde,Espagnol,SN,
Ihr und Wir plus : Textbuch,,9783192518614,Hueber Verlag,2009,Seconde,Allemand,SN,
Ihr und wir Plus Band 2 : Arbeitsheft 2,,9783192618611,Hueber Verlag,2009,Seconde,Allemand,SN,
Arabe langue de communication Seconde,,,,"Fascicule, à acheter à l'ISJA",Seconde,Arabe,SN,
